"","No.","일자","일","사용량..kWh.","최대수요..kW.","사용량요금..원.","무효전력..kVarh....지상","무효전력..kVarh....진상","역률......지상","dayOfTheWeek","isHoliday","dateName","season"
"203",203,201603,21,57888.96,3880.32,3688367,2562.72,3534.72,99.89,"월","N",NA,"spring"
"204",204,201603,22,59397.6,4078.08,3772767,2508,3270.72,99.91,"화","N",NA,"spring"
"205",205,201603,23,60136.32,4008.96,3813935,2872.32,3226.56,99.87,"수","N",NA,"spring"
"206",206,201603,24,60065.28,3966.72,3800200,2401.92,3098.4,99.9,"목","N",NA,"spring"
"207",207,201603,25,57375.84,3868.8,3630335,2668.8,3550.56,99.88,"금","N",NA,"spring"
"208",208,201603,26,43741.44,3096.96,2433470,1357.92,3781.44,99.94,"토","N",NA,"spring"
"209",209,201603,27,32819.04,1776,1486703,0,6115.2,100,"일","N",NA,"spring"
"210",210,201603,28,58556.16,4170.24,3727902,2257.44,3658.08,99.92,"월","N",NA,"spring"
"211",211,201603,29,57673.92,3744,3668232,2054.4,3502.08,99.93,"화","N",NA,"spring"
"212",212,201603,30,55407.36,3619.2,3513562,1646.88,3539.52,99.95,"수","N",NA,"spring"
"213",213,201603,31,55881.6,3544.32,3546423,1706.4,3517.92,99.95,"목","N",NA,"spring"
"214",214,201604,1,50747.04,3191.04,3220616,1426.56,3683.04,99.95,"금","N",NA,"spring"
"215",215,201604,2,38963.52,2451.84,2171936,424.8,4049.28,99.99,"토","N",NA,"spring"
"216",216,201604,3,31471.2,1687.68,1425645,0,6304.8,100,"일","N",NA,"spring"
"217",217,201604,4,53836.32,3469.44,3436182,1428.96,3689.76,99.95,"월","N",NA,"spring"
"218",218,201604,5,53433.12,3392.64,3412012,1204.8,3762.72,99.96,"화","N",NA,"spring"
"219",219,201604,6,53758.56,3442.56,3435375,1548.48,3634.56,99.94,"수","N",NA,"spring"
"220",220,201604,7,52339.2,3304.32,3329865,1085.28,3735.84,99.97,"목","N",NA,"spring"
"221",221,201604,8,50556,3206.4,3212732,1295.04,3737.28,99.95,"금","N",NA,"spring"
"222",222,201604,9,38225.76,2421.12,2128369,183.84,4090.08,100,"토","N",NA,"spring"
"223",223,201604,10,31079.52,1728,1407902,0,5819.04,100,"일","N",NA,"spring"
"224",224,201604,11,52735.68,3404.16,3365320,1073.76,3574.56,99.97,"월","N",NA,"spring"
"225",225,201604,12,52609.44,3423.36,3357927,1065.12,3694.56,99.97,"화","N",NA,"spring"
"226",226,201604,13,32184.48,1764.48,1457957,0,6177.6,100,"수","N",NA,"spring"
"227",227,201604,14,53293.44,3411.84,3395632,1166.4,3692.16,99.96,"목","N",NA,"spring"
"228",228,201604,15,49852.8,3141.12,3156352,1075.68,3600.48,99.96,"금","N",NA,"spring"
"229",229,201604,16,39715.68,2457.6,2210654,348,3909.12,99.99,"토","N",NA,"spring"
"230",230,201604,17,32031.36,1758.72,1451021,0,6181.92,100,"일","N",NA,"spring"
"231",231,201604,18,52838.88,3377.28,3362021,1268.16,3773.76,99.95,"월","N",NA,"spring"
"232",232,201604,19,53648.16,3348.48,3407058,1231.68,3482.4,99.96,"화","N",NA,"spring"
"233",233,201604,20,52932,3306.24,3352938,1353.12,3575.04,99.95,"수","N",NA,"spring"
"234",234,201604,21,52642.08,3298.56,3336461,1080.48,3573.6,99.97,"목","N",NA,"spring"
"235",235,201604,22,48879.36,3035.52,3084299,1121.76,3472.32,99.95,"금","N",NA,"spring"
"236",236,201604,23,38265.12,2344.32,2123807,370.08,3767.04,99.99,"토","N",NA,"spring"
"237",237,201604,24,31888.32,1760.64,1444541,0,5616,100,"일","N",NA,"spring"
"238",238,201604,25,50591.04,3152.64,3204736,1245.6,3546.72,99.95,"월","N",NA,"spring"
"239",239,201604,26,51579.84,3296.64,3272855,1527.84,3397.44,99.93,"화","N",NA,"spring"
"240",240,201604,27,52362.24,3298.56,3333769,1394.4,3262.08,99.95,"수","N",NA,"spring"
"241",241,201604,28,53116.32,3454.08,3395710,1785.12,3466.08,99.91,"목","N",NA,"spring"
"242",242,201604,29,48976.32,3091.2,3112569,1417.44,3378.24,99.93,"금","N",NA,"spring"
"243",243,201604,30,36556.32,2163.84,2029913,626.4,3667.68,99.97,"토","N",NA,"spring"
"244",244,201605,1,31118.88,1689.6,1409685,0,6029.28,100,"일","N",NA,"spring"
"245",245,201605,2,53439.36,3415.68,3414840,1494.24,3660.48,99.94,"월","N",NA,"spring"
"246",246,201605,3,53712,3488.64,3427419,1035.36,3711.36,99.97,"화","N",NA,"spring"
"247",247,201605,4,52915.68,3544.32,3382516,1343.04,4081.92,99.95,"수","N",NA,"spring"
"248",248,201605,5,33863.04,1923.84,1533996,0.48,5645.76,100,"목","N",NA,"spring"
"249",249,201605,6,36748.8,2148.48,2290555,129.6,4094.4,100,"금","N",NA,"spring"
"250",250,201605,7,39039.36,2405.76,2170900,250.56,4009.92,100,"토","N",NA,"spring"
"251",251,201605,8,31039.2,1691.52,1406076,0,5275.68,100,"일","N",NA,"spring"
"252",252,201605,9,53538.24,3644.16,3422529,1726.56,3673.92,99.92,"월","N",NA,"spring"
"253",253,201605,10,53048.16,3530.88,3391680,1169.28,3867.36,99.96,"화","N",NA,"spring"
"254",254,201605,11,53671.68,3450.24,3420552,1650.24,3659.52,99.93,"수","N",NA,"spring"
"255",255,201605,12,54824.64,3603.84,3501684,1812.48,3579.84,99.92,"목","N",NA,"spring"
"256",256,201605,13,51454.08,3327.36,3281308,1368.48,3661.44,99.95,"금","N",NA,"spring"
"257",257,201605,14,36709.44,2181.12,1662938,329.28,4019.04,99.99,"토","N",NA,"spring"
"258",258,201605,15,32773.92,1802.88,1484659,0,5380.8,100,"일","N",NA,"spring"
"259",259,201605,16,54480,3672.96,3476627,2095.68,3579.36,99.88,"월","N",NA,"spring"
"260",260,201605,17,55678.56,3715.2,3563406,2575.68,3435.36,99.83,"화","N",NA,"spring"
"261",261,201605,18,62382.72,4832.64,4058778,5275.68,3426.24,99.46,"수","N",NA,"spring"
"262",262,201605,19,67938.24,5470.08,4461548,7499.52,3293.28,99.12,"목","N",NA,"spring"
"263",263,201605,20,70152,5356.8,4628183,9370.56,3303.36,98.72,"금","N",NA,"spring"
"264",264,201605,21,50798.88,3734.4,2865215,5217.6,3329.28,99.16,"토","N",NA,"spring"
"265",265,201605,22,39703.2,2595.84,1798555,1031.04,3750.72,99.94,"일","N",NA,"spring"
"266",266,201605,23,75137.76,5702.4,4944664,10510.08,2947.68,98.65,"월","N",NA,"spring"
"267",267,201605,24,61552.8,4058.88,3935355,4072.32,2773.92,99.66,"화","N",NA,"spring"
"268",268,201605,25,68342.4,5235.84,4449058,7164,3010.56,99.18,"수","N",NA,"spring"
"269",269,201605,26,62537.28,4366.08,4039769,4860.48,3159.36,99.54,"목","N",NA,"spring"
"270",270,201605,27,66489.6,4872.96,4333069,7925.28,2971.2,98.93,"금","N",NA,"spring"
"271",271,201605,28,54065.76,4051.2,3045187,5458.56,3075.84,99.21,"토","N",NA,"spring"
